municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÀ,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI
TRABIA,PA,2020,0,6746946,9374319,960118,2797350,165982,2156264,116458,0,532506,536115,7629671,0,0,0,4406884,1859307,13333,55637,29295079,72601729,5810005,250338,24000,37399
ACQUAPPESA,CS,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANT'AGATA DI ESARO,CS,2021,5000,3698521,3820513,53512,455207,18894,316201,10000,0,2962372,194931,13214,0,0,0,655784,1650578,10308,4232,1949449,16422939,557723,1287,0,64108
MANIACE,CT,2021,1673,3424023,186330,191839,188758,NA,35522,nan,0,112881,108611,265685,0,nan,0,1013333,1410732,5366,nan,1174546,8691327,567033,0,0,4996
DECOLLATURA,CZ,2021,0,nan,6904,153003,378457,NA,nan,nan,0,505810,nan,147415,0,0,0,584860,248213,2950,19917,434515,2568418,86374,0,0,nan
MILITELLO ROSMARINO,ME,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MONGIARDINO LIGURE,AL,2021,0,nan,28268,15018,22025,NA,0,nan,0,5184,0,0,0,0,0,131616,83920,0,0,237953,775000,190534,0,0,60483
BISIGNANO,CS,2021,0,5959662,319673,548606,1025241,NA,230146,nan,0,715558,216035,103539,nan,51471,0,3150312,9942330,28286,52379,2193165,25098918,443761,0,14343,104411
SANT'ANTIMO,NA,2021,0,nan,4729301,607383,6307746,NA,1228785,nan,0,1609349,907858,17786,0,0,0,3998816,64843477,16456,34837,10323704,97305351,2658142,0,0,21710
TAORMINA,ME,2021,0,0,723550,361374,2053055,NA,2999700,nan,0,779504,763889,33156,0,0,0,3212580,1971974,78440,130179,6169998,19611209,nan,219030,0,114780
