municipality,province,year,ACCENSIONE PRESTITI,ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",ENTRATE DA RIDUZIONE DI ATTIVITÀ FINANZIARIE,ENTRATE EXTRATRIBUTARIE,ENTRATE IN CONTO CAPITALE,ENTRATE PER CONTO TERZI E PARTITE DI GIRO,TOTALE ENTRATE,TRASFERIMENTI CORRENTI
LUOGOSANO,AV,2021,360909,1384816,783500,0,100222,1032308,2098453,6096826,336618
SOVERIA MANNELLI,CZ,2021,2296593,3500000,3338025,0,1536073,2115415,701535,16244487,2756847
GUARDIAGRELE,CH,2021,2500000,305941,4253018,0,833690,1626231,17920407,30788729,3349442
VILLA SAN GIOVANNI,RC,2021,5271216,0,6638306,0,2499841,302276,24160656,42055513,3183218
FIUMEFREDDO DI SICILIA,CT,2021,1090634,25416,3858097,0,897374,444051,9823176,17914776,1776028
PALAGONIA,CT,2021,11686627,6931980,25789847,0,8213716,5084320,16815796,84501047,9978760
ITALA,ME,2021,46359,5308935,2451190,0,827910,3633720,1496256,15081038,1316668
NARO,AG,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIGLIANELLA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRASCATI,RM,2022,52133,0,16578434,0,5463339,1595098,3261299,29287909,2337605
CANICATTI',AG,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
CALATABIANO,CT,2022,472587,5950544,1919154,0,1379227,332422,3056000,14659217,1549283
CROSIA,CS,2022,1587680,7198885,3887946,0,1069652,1264751,4908291,21068788,1151583
AFRAGOLA,NA,2022,10150104,100826,26166816,0,6944531,1945576,43997136,99731054,10426065
CALTAGIRONE,CT,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMENDOLARA,CS,2022,0,1137983,1182952,0,979115,605154,4984649,9771504,881650
BOLOGNANO,PE,2022,0,2238366,709399,0,135846,732587,249697,4147494,81599
TORTORICI,ME,2022,192512,108877,2064753,0,558736,1926585,7533231,14455935,2071241
CARINOLA,CE,2022,60426,894231,4059192,0,190202,166496,10324452,16788320,1093322
JOPPOLO,VV,2022,0,574662,568981,0,103505,430774,4567115,7840140,1595103
PEDARA,CT,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRIGNANO,CE,2022,1323629,0,2922324,0,311140,360253,627357,5965224,420520
CERETTO LOMELLINA,PV,2022,0,0,116917,0,17128,204515,68024,529472,122887
CASACANDITELLA,CH,2022,186455,3004902,1938575,0,563860,7400188,843782,14100668,162906
GUALTIERI SICAMINO',ME,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALVAGNA,ME,2022,0,2500000,587487,0,176560,1146069,5084480,10040635,546039
SAN DANIELE PO,CR,2022,0,778461,704078,0,315850,595432,183842,2697130,119467
NOTO,SR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANTO STEFANO ROERO,CN,2022,0,351058,484952,0,82148,153603,62058,1171569,37749
PIZZONE,IS,2022,6600,231911,514473,0,205697,105462,727921,1939075,147011
PIETRADEFUSI,AV,2022,0,0,1338236,0,87592,329552,1980896,3897142,160866
GRANITI,ME,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAOLISI,BN,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
GROTTERIA,RC,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANTA VENERINA,CT,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANT'ANGELO A FASANELLA,SA,2023,160541,360043,1120400,0,683235,9021743,2414424,14284463,524076
NISCEMI,CL,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISOLA DELLE FEMMINE,PA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
PETROSINO,TP,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIOIA SANNITICA,CE,2023,59529,5000000,3345460,0,2641782,15920042,8237631,35652979,448536
USTICA,PA,2023,0,2100000,2250263,0,1542932,9257452,7588216,24901981,2163118
MONTELANICO,RM,2023,34693,1800000,1361943,0,902732,3881644,549209,8684297,154076
OLIVERI,ME,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAZZARINO,CL,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIETI,CH,2023,5851363,22000000,41041805,45508,15325765,22720024,61520721,185676614,17171428
